num_lectures,price,days_since_published,content_duration
29,20,1268,4.5
162,60,1640,18.5
31,95,1889,1.5
13,100,1777,1.5
73,200,1255,7.0
43,75,1324,1.0
10,20,1881,1.0
25,20,2119,1.5
10,25,1464,0.6
62,50,1842,3.0
13,50,1685,2.0
23,50,1402,1.0
62,50,3235,4.5
43,200,1835,4.5
37,40,2143,1.0
27,40,2011,1.0
80,50,1559,12.0
35,200,1378,2.5
7,20,1844,1.0
35,50,1654,5.0
33,75,2532,5.0
21,200,1446,2.0
25,50,2532,2.0
25,95,1233,2.0
56,120,1450,8.5
7,45,1587,1.0
78,20,2063,6.0
12,20,2274,1.5
97,100,1852,11.0
27,75,1729,5.5
14,20,2544,1.0
18,50,2400,3.0
73,170,1628,5.0
22,20,1921,1.0
12,20,2345,1.0
20,25,1392,1.0
21,20,1933,1.0
13,60,2782,1.5
33,20,1340,5.0
18,70,1912,1.5
80,50,1479,5.5
14,25,1532,0.5333333333333333
48,20,1450,4.5
15,35,2416,1.5
13,20,1570,0.5833333333333334
20,60,2080,1.5
11,0,1657,0.6333333333333333
31,70,1394,2.5
33,0,1225,3.5
9,50,1792,1.0
30,50,1826,1.5
28,20,1576,1.5
31,50,1640,1.0
10,20,1661,1.0
40,105,1980,2.5
62,60,1731,11.0
7,45,1409,0.55
13,30,2368,2.0
16,195,1666,2.0
17,100,1239,2.5
17,35,1269,1.5
26,150,1338,3.0
64,195,1220,6.5
12,30,1849,1.5
29,50,1580,2.0
25,50,2886,4.0
59,145,1379,3.0
11,0,1944,1.5
36,70,1622,3.5
26,20,1647,3.0
55,200,2103,6.5
32,40,1773,3.5
135,40,1925,6.0
26,65,1690,1.0
12,200,1412,1.0
45,50,2456,7.0
12,25,1577,1.0
31,50,1763,1.0
16,50,1205,1.0
49,40,1465,6.0
15,50,1585,1.5
14,20,1276,1.5
30,40,2298,3.5
18,195,1991,1.5
20,50,2358,4.5
57,50,2912,7.5
28,20,2101,2.0
31,0,1841,2.5
14,25,1397,2.0
42,195,1739,4.5
38,195,1959,2.5
16,200,1197,1.5
14,20,2620,1.5
11,20,1363,1.5
22,40,1268,2.0
18,40,1822,1.0
19,200,1465,1.0
65,165,1425,18.5
45,150,1732,4.0
24,180,2773,4.5
17,50,1675,1.5
33,35,1254,1.0
83,30,2081,5.0
31,50,1231,6.0
9,20,1816,0.6166666666666667
74,200,1204,8.5
125,200,1218,19.5
8,20,2540,1.0
25,20,1542,1.5
14,75,1653,1.0
16,95,2051,2.0
30,120,1862,3.0
7,20,1367,1.0
39,95,2150,2.0
32,0,1886,3.0
23,20,2333,3.0
41,195,1687,4.0
54,35,1793,4.0
89,150,1436,20.5
6,20,1233,0.7
33,25,1324,1.5
33,30,2142,2.0
18,40,2300,3.0
308,150,1630,29.5
28,85,1813,2.5
9,40,1412,0.6333333333333333
10,200,1330,2.0
52,35,3177,3.5
36,25,1203,3.0
98,175,1480,16.5
6,20,1227,0.5666666666666667
16,20,2176,2.0
18,0,1197,1.5
10,25,1392,1.0
64,35,2949,10.0
26,95,1665,2.0
39,95,1624,3.0
20,140,1792,1.5
28,100,2024,3.0
10,50,1569,1.0
17,25,2162,1.5
34,30,1567,3.5
65,150,1422,4.5
12,20,2688,1.0
30,85,2175,2.5
100,50,2170,6.0
13,0,1650,1.0
66,70,1743,6.5
40,50,1848,3.0
13,0,1252,2.0
30,95,2056,2.5
15,0,2196,2.5
9,25,1556,1.0
9,20,1780,1.0
15,200,1307,0.7333333333333333
21,55,1542,1.0
18,40,2024,2.5
18,50,1331,2.0
19,200,1462,1.5
211,200,1937,19.5
67,195,1807,7.0
49,60,1683,3.0
64,50,1560,4.5
74,25,1954,14.0
36,0,1279,5.0
34,25,1766,4.0
8,20,1196,0.5833333333333334
10,40,1500,0.6166666666666667
15,50,1486,0.6666666666666666
96,150,1744,11.0
115,100,1435,11.5
71,50,2445,1.5
126,50,2170,7.5
35,50,1842,2.0
7,50,1618,1.0
60,40,1511,2.0
19,200,1255,2.0
94,50,1682,13.0
33,20,1689,2.0
21,150,1328,2.0
30,145,1904,1.5
23,0,1294,2.0
43,30,1357,2.5
15,45,1695,2.0
72,200,1604,5.5
12,0,2042,1.0
32,20,1937,1.5
21,200,1597,2.0
18,20,1879,1.5
29,105,2204,2.5
27,45,1225,3.5
87,50,2632,47.0
28,20,2160,2.5
36,20,1465,1.0
77,100,1339,10.0
13,0,1324,0.6166666666666667
24,35,1767,1.5
61,30,1973,3.0
